date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:00	8298/8298	---M-Z	200	added ('OK')	text/html	etag:W/%2266b63b8a-206a%22	https://theseniorsurvey2024.insightiitb.org/index.html	D:/senior%20survey%202025%20files/Senior%20Survey%202025/theseniorsurvey2024.insightiitb.org/index.html	(from )
14:14:00	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://theseniorsurvey2024.insightiitb.org/robots.txt		(from )
14:14:00	8032/8032	---M-Z	200	added ('OK')	text/css	etag:W/%2266b63b8a-1f60%22	https://theseniorsurvey2024.insightiitb.org/index.css	D:/senior%20survey%202025%20files/Senior%20Survey%202025/theseniorsurvey2024.insightiitb.org/index.css	(from https://theseniorsurvey2024.insightiitb.org/index.html)
14:14:01	40408/40408	---M--	200	added ('OK')	image/png	etag:%2266b63b8a-9dd8%22	https://theseniorsurvey2024.insightiitb.org/images/favicon.png	D:/senior%20survey%202025%20files/Senior%20Survey%202025/theseniorsurvey2024.insightiitb.org/images/favicon.png	(from https://theseniorsurvey2024.insightiitb.org/index.html)
14:14:01	17810/17810	---M--	200	added ('OK')	image/png	etag:%2266b63b8a-4592%22	https://theseniorsurvey2024.insightiitb.org/images/logo.png	D:/senior%20survey%202025%20files/Senior%20Survey%202025/theseniorsurvey2024.insightiitb.org/images/logo.png	(from https://theseniorsurvey2024.insightiitb.org/index.html)
14:14:01	17219/17219	---M-Z	200	added ('OK')	text/html	etag:W/%2266b63b8a-4343%22	https://theseniorsurvey2024.insightiitb.org/Academics.html	D:/senior%20survey%202025%20files/Senior%20Survey%202025/theseniorsurvey2024.insightiitb.org/Academics.html	(from https://theseniorsurvey2024.insightiitb.org/index.html)
14:14:02	17320/17320	---M-Z	200	added ('OK')	text/html	etag:W/%2266b63b8a-43a8%22	https://theseniorsurvey2024.insightiitb.org/Career.html	D:/senior%20survey%202025%20files/Senior%20Survey%202025/theseniorsurvey2024.insightiitb.org/Career.html	(from https://theseniorsurvey2024.insightiitb.org/index.html)
14:14:02	18237/18237	---M-Z	200	added ('OK')	text/html	etag:W/%2266b63b8a-473d%22	https://theseniorsurvey2024.insightiitb.org/Personal.html	D:/senior%20survey%202025%20files/Senior%20Survey%202025/theseniorsurvey2024.insightiitb.org/Personal.html	(from https://theseniorsurvey2024.insightiitb.org/index.html)
14:14:02	16987/16987	---M-Z	200	added ('OK')	text/html	etag:W/%2266b63b8a-425b%22	https://theseniorsurvey2024.insightiitb.org/Miscellaneous.html	D:/senior%20survey%202025%20files/Senior%20Survey%202025/theseniorsurvey2024.insightiitb.org/Miscellaneous.html	(from https://theseniorsurvey2024.insightiitb.org/index.html)
14:14:02	42203/42203	---M--	200	added ('OK')	image/png	etag:%2266b63b8a-a4db%22	https://theseniorsurvey2024.insightiitb.org/images/ss.png	D:/senior%20survey%202025%20files/Senior%20Survey%202025/theseniorsurvey2024.insightiitb.org/images/ss.png	(from https://theseniorsurvey2024.insightiitb.org/index.html)
